Date,Open,High,Low,Close
12/31/2010,"1,254.25","1,257.75","1,249.50","1,253.00"
12/30/2010,"1,255.75","1,257.50","1,251.50","1,254.50"
12/29/2010,"1,254.00","1,258.50","1,253.25","1,255.75"
12/28/2010,"1,253.50","1,256.50","1,251.50","1,254.00"
12/27/2010,"1,249.50","1,254.25","1,245.50","1,253.25"
12/23/2010,"1,254.50","1,255.75","1,249.25","1,253.00"
12/22/2010,"1,250.00","1,255.00","1,249.00","1,254.50"
12/21/2010,"1,241.00","1,251.25","1,240.75","1,250.75"
12/20/2010,"1,240.00","1,245.75","1,234.00","1,241.25"
12/17/2010,"1,238.50","1,241.00","1,234.50","1,238.50"
12/16/2010,"1,232.00","1,239.75","1,227.50","1,238.50"
12/15/2010,"1,236.75","1,239.50","1,228.75","1,232.00"
12/14/2010,"1,236.00","1,242.25","1,232.75","1,236.75"
12/13/2010,"1,237.50","1,242.00","1,232.00","1,236.25"
12/10/2010,"1,227.75","1,236.25","1,226.75","1,236.00"
12/09/2010,"1,223.25","1,233.00","1,221.25","1,228.00"
12/08/2010,"1,222.75","1,229.25","1,217.25","1,228.75"
12/07/2010,"1,222.75","1,235.00","1,219.00","1,223.25"
12/06/2010,"1,223.25","1,226.75","1,216.25","1,222.00"
12/03/2010,"1,222.75","1,227.25","1,213.00","1,223.50"
12/02/2010,"1,204.00","1,223.25","1,202.00","1,222.75"
12/01/2010,"1,177.75","1,207.75","1,176.25","1,204.50"
11/30/2010,"1,186.50","1,188.25","1,173.00","1,179.50"
11/29/2010,"1,188.50","1,193.75","1,172.25","1,186.50"
11/26/2010,"1,194.00","1,200.50","1,182.50","1,183.25"
11/24/2010,"1,178.00","1,197.50","1,175.50","1,196.50"
11/23/2010,"1,197.00","1,197.75","1,174.75","1,178.25"
11/22/2010,"1,202.75","1,206.00","1,182.50","1,198.00"
11/19/2010,"1,197.50","1,200.00","1,187.50","1,198.25"
11/18/2010,"1,177.75","1,199.00","1,177.00","1,197.75"
11/17/2010,"1,175.75","1,182.00","1,173.25","1,177.50"
11/16/2010,"1,195.25","1,195.25","1,171.00","1,174.75"
11/15/2010,"1,195.50","1,205.75","1,192.50","1,195.75"
11/12/2010,"1,210.50","1,211.75","1,191.50","1,195.50"
11/11/2010,"1,213.50","1,213.75","1,202.00","1,211.00"
11/10/2010,"1,210.50","1,217.00","1,201.75","1,214.00"
11/09/2010,"1,219.25","1,224.75","1,206.25","1,211.00"
11/08/2010,"1,220.50","1,222.25","1,214.75","1,220.00"
11/05/2010,"1,218.25","1,224.50","1,212.50","1,222.00"
11/04/2010,"1,197.50","1,218.75","1,195.25","1,218.50"
11/03/2010,"1,192.75","1,198.00","1,179.50","1,197.25"
11/02/2010,"1,182.75","1,193.50","1,180.75","1,192.75"
11/01/2010,"1,180.50","1,192.75","1,173.75","1,183.00"
10/29/2010,"1,179.25","1,182.50","1,172.00","1,179.75"
10/28/2010,"1,178.50","1,187.50","1,173.50","1,179.25"
10/27/2010,"1,183.25","1,186.25","1,167.75","1,178.75"
10/26/2010,"1,182.00","1,184.25","1,174.00","1,182.75"
10/25/2010,"1,180.75","1,193.00","1,180.50","1,182.75"
10/22/2010,"1,175.25","1,181.50","1,173.25","1,180.75"
10/21/2010,"1,174.75","1,186.25","1,167.25","1,175.75"
10/20/2010,"1,164.00","1,180.00","1,160.50","1,174.75"
10/19/2010,"1,178.75","1,179.50","1,155.50","1,163.75"
10/18/2010,"1,174.25","1,182.25","1,164.75","1,178.25"
10/15/2010,"1,174.00","1,180.00","1,163.00","1,175.00"
10/14/2010,"1,174.75","1,180.75","1,162.50","1,173.50"
10/13/2010,"1,165.25","1,181.00","1,164.25","1,174.25"
10/12/2010,"1,162.50","1,169.00","1,151.75","1,164.50"
10/11/2010,"1,161.50","1,165.00","1,157.75","1,162.25"
10/08/2010,"1,156.50","1,164.00","1,145.50","1,160.50"
10/07/2010,"1,155.75","1,163.75","1,147.25","1,156.50"
10/06/2010,"1,155.00","1,160.00","1,151.00","1,155.75"
10/05/2010,"1,134.75","1,158.75","1,132.75","1,154.75"
10/04/2010,"1,143.25","1,144.00","1,127.00","1,134.75"
10/01/2010,"1,135.75","1,146.50","1,134.50","1,142.25"
09/30/2010,"1,141.00","1,153.50","1,131.25","1,136.75"
09/29/2010,"1,141.75","1,146.75","1,135.50","1,141.00"
09/28/2010,"1,137.75","1,146.00","1,127.25","1,141.75"
09/27/2010,"1,144.00","1,149.75","1,137.00","1,137.75"
09/24/2010,"1,120.50","1,144.50","1,118.50","1,143.25"
09/23/2010,"1,130.00","1,134.50","1,117.25","1,120.50"
09/22/2010,"1,135.00","1,140.25","1,126.50","1,129.75"
09/21/2010,"1,136.50","1,144.00","1,130.25","1,134.75"
