Date,Open,High,Low,Close
12/31/2019,"3,223.25","3,236.25","3,213.00","3,231.10"
12/30/2019,"3,238.25","3,244.25","3,217.25","3,223.40"
12/27/2019,"3,242.00","3,254.00","3,235.50","3,237.60"
12/26/2019,"3,227.50","3,244.75","3,227.00","3,244.40"
12/24/2019,"3,228.25","3,231.25","3,222.50","3,225.70"
12/23/2019,"3,227.00","3,234.25","3,224.25","3,227.20"
12/20/2019,"3,213.50","3,229.50","3,208.50","3,225.70"
12/19/2019,"3,199.50","3,213.75","3,194.50","3,211.70"
12/18/2019,"3,192.50","3,203.00","3,192.00","3,199.30"
12/17/2019,"3,196.50","3,203.50","3,192.00","3,195.40"
12/16/2019,"3,179.50","3,202.50","3,177.00","3,198.40"
12/13/2019,"3,175.20","3,188.25","3,159.75","3,175.20"
12/12/2019,"3,146.75","3,165.00","3,140.25","3,143.10"
12/11/2019,"3,135.50","3,144.50","3,129.50","3,143.10"
12/10/2019,"3,133.50","3,143.00","3,116.25","3,136.00"
12/09/2019,"3,146.50","3,149.50","3,131.25","3,134.50"
12/06/2019,"3,117.75","3,151.00","3,117.00","3,146.10"
12/05/2019,"3,111.00","3,124.75","3,103.25","3,117.70"
12/04/2019,"3,091.75","3,119.50","3,081.75","3,111.10"
12/03/2019,"3,114.25","3,121.75","3,069.50","3,091.10"
12/02/2019,"3,146.25","3,158.00","3,110.25","3,114.20"
11/29/2019,"3,150.00","3,151.75","3,139.50","3,143.70"
11/27/2019,"3,143.75","3,155.00","3,141.75","3,153.80"
11/26/2019,"3,131.25","3,145.00","3,128.00","3,143.70"
11/25/2019,"3,119.00","3,133.50","3,116.50","3,132.70"
11/22/2019,"3,104.00","3,114.50","3,097.75","3,111.60"
11/21/2019,"3,097.25","3,114.50","3,091.25","3,103.90"
11/20/2019,"3,116.50","3,118.50","3,090.75","3,109.00"
11/19/2019,"3,121.50","3,132.50","3,112.75","3,118.50"
11/18/2019,"3,119.00","3,127.75","3,111.00","3,121.80"
11/15/2019,"3,097.00","3,119.50","3,095.75","3,118.30"
11/14/2019,"3,096.25","3,099.75","3,081.75","3,096.90"
11/13/2019,"3,091.25","3,097.00","3,075.75","3,095.60"
11/12/2019,"3,087.75","3,102.00","3,081.25","3,091.90"
11/11/2019,"3,090.50","3,092.25","3,074.50","3,087.40"
11/08/2019,"3,086.25","3,092.50","3,072.50","3,090.60"
11/07/2019,"3,077.25","3,097.00","3,070.25","3,085.90"
11/06/2019,"3,071.50","3,078.00","3,063.00","3,075.60"
11/05/2019,"3,076.75","3,085.75","3,069.75","3,071.90"
11/04/2019,"3,064.75","3,083.75","3,064.75","3,075.70"
11/01/2019,"3,036.00","3,065.00","3,033.00","3,063.20"
10/31/2019,"3,051.75","3,052.00","3,020.25","3,035.80"
10/30/2019,"3,036.50","3,055.00","3,023.25","3,047.80"
10/29/2019,"3,038.25","3,046.25","3,029.50","3,035.70"
10/28/2019,"3,023.00","3,042.75","3,022.75","3,036.30"
10/25/2019,"3,003.75","3,026.50","3,000.00","3,020.30"
10/24/2019,"3,006.00","3,015.25","2,998.75","3,004.20"
10/23/2019,"2,992.00","3,006.00","2,982.00","3,005.70"
10/22/2019,"3,006.50","3,014.25","2,988.25","2,994.50"
10/21/2019,"2,984.75","3,007.50","2,983.75","3,006.50"
10/18/2019,"2,997.75","3,001.25","2,975.00","2,988.20"
10/17/2019,"2,992.25","3,008.00","2,985.25","2,997.90"
10/16/2019,"2,996.50","2,997.75","2,984.75","2,991.40"
10/15/2019,"2,966.75","3,003.25","2,966.50","2,997.70"
10/14/2019,"2,968.00","2,982.50","2,953.75","2,965.50"
10/11/2019,"2,949.00","2,994.00","2,941.75","2,970.80"
10/10/2019,"2,920.50","2,954.00","2,881.75","2,941.10"
10/09/2019,"2,893.50","2,934.50","2,888.25","2,918.90"
10/08/2019,"2,934.50","2,950.00","2,890.50","2,892.60"
10/07/2019,"2,929.75","2,959.50","2,928.00","2,937.50"
10/04/2019,"2,911.50","2,953.25","2,896.75","2,951.00"
10/03/2019,"2,883.75","2,912.75","2,855.00","2,911.80"
10/02/2019,"2,942.25","2,949.00","2,874.00","2,880.60"
10/01/2019,"2,984.00","2,994.50","2,937.00","2,937.80"
09/30/2019,"2,976.00","2,987.00","2,964.50","2,978.50"
09/27/2019,"2,979.75","2,993.00","2,946.25","2,963.80"
09/26/2019,"2,985.75","2,995.00","2,964.25","2,980.50"
09/25/2019,"2,971.00","2,991.75","2,953.75","2,986.30"
09/24/2019,"3,001.00","3,012.25","2,958.50","2,970.20"
09/23/2019,"2,995.75","3,008.25","2,982.00","2,997.10"
09/20/2019,"3,007.00","3,018.00","2,985.25","2,989.50"
09/19/2019,"3,010.00","3,024.50","2,991.25","3,007.90"
09/18/2019,"3,008.75","3,013.75","2,980.75","3,008.60"
09/17/2019,"3,004.25","3,009.00","2,993.75","3,007.90"
09/16/2019,"2,996.75","3,005.25","2,983.50","3,001.50"
09/13/2019,"3,012.00","3,025.75","3,005.75","3,008.60"
09/12/2019,"3,004.25","3,023.50","3,001.00","3,013.70"
09/11/2019,"2,979.00","3,004.25","2,972.00","3,002.00"
09/10/2019,"2,979.25","2,985.00","2,957.25","2,978.50"
09/09/2019,"2,980.25","2,991.50","2,969.50","2,978.20"
09/06/2019,"2,970.75","2,988.25","2,970.25","2,980.80"
09/05/2019,"2,938.00","2,986.50","2,936.50","2,972.00"
09/04/2019,"2,903.00","2,939.50","2,902.00","2,938.50"
09/03/2019,"2,899.00","2,915.50","2,891.00","2,905.90"
08/30/2019,"2,923.25","2,946.50","2,913.25","2,924.80"
08/29/2019,"2,883.25","2,930.75","2,875.25","2,926.70"
08/28/2019,"2,866.25","2,890.50","2,851.75","2,889.80"
08/27/2019,"2,882.75","2,899.50","2,860.00","2,865.40"
08/26/2019,"2,831.00","2,888.50","2,810.25","2,883.30"
08/23/2019,"2,920.25","2,936.75","2,834.00","2,855.60"
08/22/2019,"2,931.25","2,939.75","2,904.25","2,922.30"
08/21/2019,"2,893.25","2,932.50","2,893.00","2,929.20"
08/20/2019,"2,921.25","2,932.25","2,894.25","2,898.20"
08/19/2019,"2,893.00","2,932.25","2,892.50","2,923.70"
08/16/2019,"2,851.00","2,894.75","2,849.50","2,891.50"
08/15/2019,"2,836.00","2,871.75","2,817.75","2,848.60"
08/14/2019,"2,931.00","2,936.50","2,835.75","2,840.70"
08/13/2019,"2,882.25","2,944.25","2,866.75","2,932.00"
08/12/2019,"2,918.75","2,931.00","2,872.50","2,880.30"
08/09/2019,"2,928.00","2,935.75","2,899.00","2,919.70"
08/08/2019,"2,879.00","2,940.75","2,870.50","2,940.10"
08/07/2019,"2,873.75","2,891.50","2,823.25","2,880.60"
08/06/2019,"2,816.25","2,883.75","2,775.75","2,876.00"
08/05/2019,"2,929.25","2,933.50","2,820.50","2,830.10"
08/02/2019,"2,950.25","2,961.00","2,913.50","2,932.40"
08/01/2019,"2,970.25","3,014.25","2,965.00","2,951.90"
07/31/2019,"3,016.25","3,020.75","2,987.50","2,982.30"
07/30/2019,"3,022.25","3,027.50","3,001.50","3,012.30"
07/29/2019,"3,022.00","3,027.25","3,015.50","3,021.80"
07/26/2019,"3,006.50","3,029.50","3,006.00","3,024.50"
07/25/2019,"3,018.00","3,027.75","2,998.00","3,006.50"
