Date,Open,High,Low,Close
12/30/2016,"2,246.25","2,252.75","2,228.00","2,236.25"
12/29/2016,"2,245.50","2,250.00","2,239.50","2,245.00"
12/28/2016,"2,261.25","2,267.50","2,243.50","2,245.25"
12/27/2016,"2,258.75","2,269.50","2,257.75","2,261.00"
12/23/2016,"2,257.50","2,261.00","2,254.25","2,260.00"
12/22/2016,"2,258.25","2,261.00","2,251.50","2,258.75"
12/21/2016,"2,267.25","2,268.00","2,258.00","2,260.50"
12/20/2016,"2,260.25","2,269.50","2,260.00","2,266.50"
12/19/2016,"2,256.00","2,263.75","2,254.00","2,260.00"
12/16/2016,"2,259.50","2,264.00","2,249.50","2,255.25"
12/15/2016,"2,251.75","2,267.75","2,247.25","2,258.50"
12/14/2016,"2,268.00","2,272.50","2,243.00","2,252.00"
12/13/2016,"2,250.25","2,273.00","2,247.75","2,267.75"
12/12/2016,"2,255.25","2,264.75","2,246.75","2,250.50"
12/09/2016,"2,241.50","2,255.75","2,239.75","2,254.75"
12/08/2016,"2,231.25","2,246.00","2,227.75","2,242.50"
12/07/2016,"2,211.25","2,241.25","2,206.75","2,236.70"
12/06/2016,"2,205.00","2,212.00","2,200.25","2,210.10"
12/05/2016,"2,184.00","2,208.75","2,179.00","2,204.20"
12/02/2016,"2,190.50","2,197.25","2,184.25","2,192.10"
12/01/2016,"2,199.50","2,203.00","2,186.00","2,192.10"
11/30/2016,"2,203.25","2,213.75","2,197.25","2,198.80"
11/29/2016,"2,200.25","2,209.50","2,196.25","2,203.80"
11/28/2016,"2,208.00","2,209.50","2,198.25","2,200.80"
11/25/2016,"2,206.25","2,211.75","2,202.50","2,211.30"
11/23/2016,"2,201.25","2,203.50","2,192.00","2,200.80"
11/22/2016,"2,193.25","2,203.00","2,191.75","2,200.30"
11/21/2016,"2,179.50","2,196.50","2,178.50","2,192.90"
11/18/2016,"2,184.00","2,187.50","2,176.50","2,180.80"
11/17/2016,"2,172.50","2,185.50","2,171.75","2,184.30"
11/16/2016,"2,179.00","2,185.00","2,168.75","2,172.80"
11/15/2016,"2,161.00","2,179.75","2,158.50","2,179.30"
11/14/2016,"2,164.50","2,174.50","2,152.25","2,160.40"
11/11/2016,"2,165.00","2,170.50","2,148.50","2,161.60"
11/10/2016,"2,159.50","2,180.50","2,147.75","2,167.20"
11/09/2016,"2,138.00","2,166.75","2,028.50","2,160.30"
11/08/2016,"2,129.00","2,143.25","2,119.00","2,135.50"
11/07/2016,"2,106.00","2,130.75","2,102.75","2,129.10"
11/04/2016,"2,084.00","2,094.25","2,078.75","2,080.00"
11/03/2016,"2,088.25","2,098.75","2,079.75","2,083.60"
11/02/2016,"2,102.25","2,106.50","2,087.25","2,092.30"
11/01/2016,"2,123.50","2,129.50","2,091.00","2,103.80"
10/31/2016,"2,120.00","2,130.50","2,114.75","2,120.10"
10/28/2016,"2,127.25","2,135.25","2,112.50","2,123.80"
10/27/2016,"2,133.75","2,143.75","2,122.50","2,123.40"
10/26/2016,"2,135.25","2,140.00","2,124.75","2,134.10"
10/25/2016,"2,144.75","2,149.75","2,135.25","2,138.00"
10/24/2016,"2,137.00","2,149.00","2,134.75","2,144.30"
10/21/2016,"2,136.00","2,138.50","2,123.25","2,134.70"
10/20/2016,"2,137.50","2,144.50","2,126.75","2,137.10"
10/19/2016,"2,131.50","2,142.50","2,126.50","2,138.10"
10/18/2016,"2,122.50","2,139.75","2,120.25","2,131.90"
10/17/2016,"2,126.25","2,130.00","2,116.75","2,123.10"
10/14/2016,"2,126.25","2,143.25","2,122.25","2,126.90"
10/13/2016,"2,127.75","2,132.25","2,107.75","2,126.30"
10/12/2016,"2,133.00","2,140.75","2,126.25","2,131.50"
10/11/2016,"2,159.50","2,160.75","2,121.75","2,134.40"
10/10/2016,"2,152.00","2,163.50","2,148.50","2,159.10"
10/07/2016,"2,155.25","2,161.50","2,138.00","2,146.50"
10/06/2016,"2,153.25","2,157.25","2,143.25","2,156.50"
10/05/2016,"2,144.25","2,158.00","2,141.00","2,153.30"
10/04/2016,"2,153.75","2,159.75","2,136.00","2,144.70"
10/03/2016,"2,158.75","2,164.00","2,157.75","2,153.20"
09/30/2016,"2,145.75","2,168.25","2,135.75","2,160.40"
09/29/2016,"2,162.25","2,167.00","2,137.25","2,148.50"
09/28/2016,"2,152.00","2,165.25","2,144.00","2,163.20"
09/27/2016,"2,139.25","2,154.00","2,132.75","2,152.80"
09/26/2016,"2,156.25","2,159.50","2,136.75","2,139.70"
09/23/2016,"2,168.25","2,169.50","2,156.00","2,158.10"
09/22/2016,"2,156.25","2,172.75","2,152.75","2,168.30"
09/21/2016,"2,130.00","2,157.50","2,126.25","2,156.20"
09/20/2016,"2,133.75","2,143.50","2,129.00","2,131.10"
09/19/2016,"2,132.25","2,146.75","2,127.75","2,132.90"
09/16/2016,"2,136.50","2,137.00","2,123.00","2,132.50"
09/15/2016,"2,115.00","2,144.50","2,107.75","2,137.90"
09/14/2016,"2,125.00","2,134.50","2,112.00","2,113.30"
09/13/2016,"2,150.50","2,150.75","2,112.25","2,122.20"
09/12/2016,"2,115.25","2,156.00","2,100.25","2,151.90"
09/09/2016,"2,170.25","2,171.75","2,113.25","2,116.00"
09/08/2016,"2,178.00","2,182.75","2,169.25","2,171.00"
09/07/2016,"2,185.25","2,186.75","2,177.50","2,184.60"
09/06/2016,"2,178.75","2,186.25","2,173.00","2,184.50"
09/02/2016,"2,166.25","2,183.75","2,164.25","2,178.00"
09/01/2016,"2,169.00","2,177.25","2,154.75","2,167.30"
08/31/2016,"2,175.75","2,176.25","2,159.50","2,169.50"
08/30/2016,"2,180.00","2,181.50","2,168.50","2,175.20"
08/29/2016,"2,167.75","2,182.25","2,164.50","2,179.30"
08/26/2016,"2,174.00","2,186.75","2,157.50","2,168.40"
08/25/2016,"2,175.00","2,177.25","2,167.50","2,173.60"
08/24/2016,"2,185.75","2,187.75","2,168.75","2,174.90"
08/23/2016,"2,180.75","2,191.50","2,179.25","2,185.20"
08/22/2016,"2,181.75","2,184.50","2,173.50","2,181.40"
08/19/2016,"2,183.50","2,184.25","2,172.50","2,181.70"
08/18/2016,"2,180.75","2,184.50","2,176.25","2,183.60"
08/17/2016,"2,177.50","2,182.00","2,165.50","2,179.70"
08/16/2016,"2,186.00","2,186.25","2,175.25","2,176.80"
08/15/2016,"2,180.75","2,190.75","2,180.50","2,185.90"
08/12/2016,"2,181.75","2,184.00","2,175.50","2,180.20"
08/11/2016,"2,172.50","2,185.25","2,170.00","2,181.80"
08/10/2016,"2,178.00","2,181.50","2,167.75","2,172.70"
08/09/2016,"2,176.00","2,183.50","2,173.75","2,177.60"
08/08/2016,"2,176.00","2,183.00","2,173.25","2,175.50"
08/05/2016,"2,159.50","2,178.50","2,159.25","2,176.80"
08/04/2016,"2,156.75","2,164.25","2,154.00","2,159.30"
08/03/2016,"2,152.25","2,158.25","2,145.25","2,157.00"
08/02/2016,"2,166.00","2,171.00","2,141.50","2,152.70"
08/01/2016,"2,174.00","2,177.75","2,159.75","2,164.40"
07/29/2016,"2,165.50","2,171.75","2,157.50","2,168.20"
07/28/2016,"2,162.75","2,168.50","2,153.50","2,164.70"
07/27/2016,"2,166.00","2,169.25","2,152.00","2,160.60"
07/26/2016,"2,162.75","2,168.00","2,153.75","2,163.30"
07/25/2016,"2,167.75","2,172.50","2,155.75","2,162.20"
07/22/2016,"2,159.00","2,169.25","2,156.00","2,167.40"
07/21/2016,"2,168.25","2,170.25","2,153.50","2,157.90"
07/20/2016,"2,159.00","2,169.75","2,155.25","2,167.60"
07/19/2016,"2,160.00","2,160.75","2,151.25","2,158.70"
