Date,Open,High,Low,Close
12/30/2011,"1,256.75","1,260.50","1,250.75","1,252.50"
12/29/2011,"1,244.00","1,258.50","1,243.75","1,257.50"
12/28/2011,"1,260.00","1,264.50","1,243.00","1,244.50"
12/27/2011,"1,260.50","1,264.00","1,256.00","1,260.25"
12/23/2011,"1,249.50","1,260.75","1,248.75","1,260.25"
12/22/2011,"1,236.00","1,251.00","1,232.25","1,249.00"
12/21/2011,"1,236.00","1,249.00","1,223.00","1,236.25"
12/20/2011,"1,199.00","1,237.25","1,198.75","1,236.00"
12/19/2011,"1,212.00","1,219.75","1,195.50","1,199.00"
12/16/2011,"1,212.25","1,225.00","1,208.25","1,211.00"
12/15/2011,"1,206.25","1,220.50","1,198.00","1,211.75"
12/14/2011,"1,219.75","1,226.50","1,202.50","1,206.25"
12/13/2011,"1,229.25","1,244.00","1,212.50","1,220.25"
12/12/2011,"1,250.25","1,254.50","1,220.00","1,229.25"
12/09/2011,"1,229.75","1,254.75","1,222.75","1,253.00"
12/08/2011,"1,257.75","1,266.00","1,224.75","1,230.25"
12/07/2011,"1,255.50","1,268.00","1,244.00","1,264.00"
12/06/2011,"1,253.25","1,265.75","1,245.25","1,255.00"
12/05/2011,"1,248.00","1,266.25","1,248.00","1,255.00"
12/02/2011,"1,243.50","1,262.75","1,242.00","1,243.50"
12/01/2011,"1,243.75","1,251.00","1,235.75","1,243.50"
11/30/2011,"1,195.00","1,246.75","1,183.00","1,246.00"
11/29/2011,"1,190.75","1,206.00","1,186.25","1,196.50"
11/28/2011,"1,172.00","1,196.25","1,169.25","1,191.00"
11/25/2011,"1,162.50","1,173.75","1,147.50","1,153.50"
11/23/2011,"1,182.75","1,185.00","1,158.50","1,160.00"
11/22/2011,"1,190.75","1,199.00","1,179.25","1,182.75"
11/21/2011,"1,208.00","1,209.00","1,180.75","1,190.75"
11/18/2011,"1,215.00","1,229.75","1,208.75","1,214.00"
11/17/2011,"1,231.25","1,241.75","1,206.50","1,214.75"
11/16/2011,"1,254.50","1,258.75","1,230.50","1,231.00"
11/15/2011,"1,251.50","1,262.25","1,234.00","1,254.00"
11/14/2011,"1,264.25","1,270.75","1,243.50","1,252.50"
11/11/2011,"1,237.50","1,264.75","1,233.75","1,261.50"
11/10/2011,"1,226.25","1,245.00","1,218.25","1,237.50"
11/09/2011,"1,273.25","1,274.00","1,222.75","1,225.50"
11/08/2011,"1,257.50","1,275.25","1,248.50","1,273.25"
11/07/2011,"1,253.25","1,259.50","1,232.00","1,257.50"
11/04/2011,"1,255.75","1,258.75","1,234.50","1,251.00"
11/03/2011,"1,234.25","1,259.75","1,213.50","1,255.75"
11/02/2011,"1,223.50","1,238.75","1,216.50","1,234.25"
11/01/2011,"1,224.60","1,248.00","1,208.50","1,224.60"
10/31/2011,"1,280.00","1,280.75","1,245.25","1,249.25"
10/28/2011,"1,282.25","1,284.25","1,272.75","1,281.00"
10/27/2011,"1,238.00","1,289.25","1,237.50","1,282.50"
10/26/2011,"1,225.00","1,242.50","1,216.50","1,237.50"
10/25/2011,"1,247.00","1,254.50","1,222.25","1,224.50"
10/24/2011,"1,229.75","1,252.50","1,226.75","1,247.00"
10/21/2011,"1,208.75","1,235.75","1,208.00","1,235.25"
10/20/2011,"1,206.75","1,216.25","1,192.50","1,210.00"
10/19/2011,"1,222.75","1,227.25","1,201.50","1,206.50"
10/18/2011,"1,194.00","1,229.75","1,185.50","1,223.00"
10/17/2011,"1,218.25","1,230.75","1,193.50","1,194.00"
10/14/2011,"1,197.50","1,221.50","1,193.00","1,219.25"
10/13/2011,"1,198.50","1,204.25","1,185.25","1,198.00"
10/12/2011,"1,187.50","1,216.00","1,180.75","1,198.25"
10/11/2011,"1,190.50","1,194.75","1,180.75","1,189.50"
10/10/2011,"1,157.75","1,192.25","1,156.50","1,191.00"
10/07/2011,"1,157.25","1,173.75","1,144.75","1,155.00"
10/06/2011,"1,135.00","1,160.50","1,129.00","1,157.50"
10/05/2011,"1,114.50","1,141.25","1,106.50","1,135.00"
10/04/2011,"1,087.50","1,119.75","1,068.00","1,113.50"
10/03/2011,"1,123.00","1,133.50","1,085.25","1,086.25"
09/30/2011,"1,157.25","1,159.75","1,121.50","1,126.00"
09/29/2011,"1,148.25","1,170.75","1,133.50","1,156.25"
09/28/2011,"1,169.00","1,181.75","1,143.50","1,148.75"
09/27/2011,"1,157.50","1,190.00","1,155.00","1,169.50"
09/26/2011,"1,122.00","1,159.00","1,115.00","1,158.50"
09/23/2011,"1,124.25","1,138.50","1,102.00","1,129.75"
09/22/2011,"1,155.25","1,159.00","1,106.75","1,123.50"
09/21/2011,"1,196.75","1,203.75","1,155.00","1,155.75"
09/20/2011,"1,196.75","1,214.50","1,185.25","1,196.00"
09/19/2011,"1,199.25","1,203.75","1,181.50","1,197.75"
09/16/2011,"1,203.00","1,214.00","1,194.75","1,211.75"
09/15/2011,"1,182.25","1,205.50","1,175.75","1,204.25"
09/14/2011,"1,165.50","1,196.25","1,148.00","1,182.25"
09/13/2011,"1,156.75","1,170.50","1,139.00","1,165.25"
09/12/2011,"1,136.00","1,158.00","1,123.50","1,157.25"
09/09/2011,"1,180.00","1,188.25","1,141.00","1,152.25"
09/08/2011,"1,193.75","1,198.00","1,176.25","1,180.00"
09/07/2011,"1,164.50","1,199.75","1,163.75","1,199.00"
09/06/2011,"1,165.00","1,166.75","1,136.00","1,164.50"
09/02/2011,"1,201.00","1,203.25","1,168.50","1,169.25"
09/01/2011,"1,218.00","1,228.50","1,200.75","1,201.25"
08/31/2011,"1,204.25","1,229.75","1,201.25","1,217.75"
08/30/2011,"1,208.00","1,218.75","1,193.50","1,204.75"
08/29/2011,"1,175.50","1,208.75","1,172.25","1,208.00"
08/26/2011,"1,157.00","1,179.75","1,132.75","1,176.00"
08/25/2011,"1,171.50","1,188.50","1,153.00","1,157.50"
08/24/2011,"1,159.00","1,176.75","1,142.50","1,172.00"
08/23/2011,"1,123.50","1,160.75","1,118.50","1,158.50"
08/22/2011,"1,122.00","1,146.50","1,111.25","1,123.25"
08/19/2011,"1,143.75","1,153.25","1,117.50","1,124.00"
08/18/2011,"1,189.50","1,190.00","1,128.25","1,143.50"
08/17/2011,"1,191.75","1,206.50","1,181.50","1,190.00"
08/16/2011,"1,196.50","1,201.50","1,177.50","1,192.25"
08/15/2011,"1,179.75","1,201.75","1,176.25","1,198.50"
08/12/2011,"1,168.25","1,186.75","1,146.75","1,176.75"
08/11/2011,"1,123.00","1,184.00","1,103.00","1,168.50"
08/10/2011,"1,171.00","1,178.75","1,113.75","1,123.50"
08/09/2011,"1,113.00","1,175.50","1,077.00","1,171.75"
08/08/2011,"1,167.25","1,189.00","1,109.50","1,111.25"
08/05/2011,"1,199.50","1,219.00","1,163.25","1,197.75"
08/04/2011,"1,254.25","1,264.25","1,193.25","1,198.75"
08/03/2011,"1,248.25","1,258.00","1,230.25","1,254.50"
08/02/2011,"1,279.75","1,285.00","1,246.75","1,247.25"
08/01/2011,"1,306.00","1,309.75","1,270.25","1,279.75"
07/29/2011,"1,297.75","1,300.75","1,278.75","1,288.50"
07/28/2011,"1,299.25","1,313.00","1,295.25","1,296.75"
07/27/2011,"1,326.00","1,328.50","1,298.00","1,299.00"
07/26/2011,"1,333.50","1,339.75","1,325.50","1,326.25"
07/25/2011,"1,330.00","1,340.25","1,322.00","1,333.50"
07/22/2011,"1,341.25","1,347.75","1,332.75","1,341.00"
07/21/2011,"1,321.75","1,343.50","1,315.00","1,342.50"
07/20/2011,"1,321.25","1,329.75","1,319.25","1,321.25"
07/19/2011,"1,301.50","1,324.25","1,300.25","1,321.25"
07/18/2011,"1,314.50","1,314.75","1,291.25","1,300.50"
07/15/2011,"1,307.75","1,315.50","1,300.50","1,315.00"
07/14/2011,"1,312.25","1,323.25","1,302.00","1,306.75"
07/13/2011,"1,310.75","1,327.75","1,307.25","1,312.25"
07/12/2011,"1,318.00","1,323.25","1,295.25","1,310.75"
07/11/2011,"1,339.25","1,339.50","1,311.75","1,318.50"
07/08/2011,"1,351.50","1,354.50","1,329.25","1,341.75"
07/07/2011,"1,336.00","1,352.75","1,335.75","1,351.75"
07/06/2011,"1,336.00","1,340.75","1,326.50","1,335.75"
07/05/2011,"1,334.50","1,337.75","1,328.25","1,336.75"
07/01/2011,"1,314.75","1,336.50","1,312.50","1,334.75"
06/30/2011,"1,304.00","1,317.50","1,302.25","1,315.50"
06/29/2011,"1,293.50","1,305.50","1,291.50","1,304.25"
06/28/2011,"1,277.00","1,295.00","1,271.50","1,294.50"
06/27/2011,"1,265.00","1,280.00","1,257.00","1,276.25"
06/24/2011,"1,277.50","1,286.00","1,261.25","1,264.00"
06/23/2011,"1,280.00","1,280.75","1,257.00","1,277.00"
06/22/2011,"1,287.75","1,293.75","1,279.50","1,279.75"
06/21/2011,"1,273.25","1,292.75","1,271.75","1,288.00"
06/20/2011,"1,265.00","1,275.25","1,256.25","1,273.75"
06/17/2011,"1,263.75","1,277.25","1,258.50","1,266.00"
06/16/2011,"1,261.00","1,269.00","1,252.25","1,263.50"
06/15/2011,"1,283.75","1,283.75","1,255.75","1,260.00"
06/14/2011,"1,267.50","1,287.00","1,265.25","1,284.50"
06/13/2011,"1,265.00","1,271.75","1,259.50","1,266.25"
06/10/2011,"1,282.25","1,283.50","1,261.75","1,263.75"
06/09/2011,"1,273.00","1,288.50","1,269.75","1,282.00"
06/08/2011,"1,285.00","1,287.75","1,276.25","1,277.00"
06/07/2011,"1,285.25","1,295.50","1,282.50","1,284.75"
06/06/2011,"1,298.75","1,299.00","1,283.25","1,285.00"
06/03/2011,"1,312.25","1,313.50","1,294.50","1,296.25"
06/02/2011,"1,313.25","1,317.75","1,304.25","1,312.50"
06/01/2011,"1,344.75","1,347.75","1,311.25","1,312.00"
05/31/2011,"1,329.75","1,345.75","1,328.25","1,344.00"
05/27/2011,"1,326.50","1,333.75","1,324.50","1,330.00"
05/26/2011,"1,316.50","1,327.50","1,312.50","1,326.50"
05/25/2011,"1,313.00","1,324.50","1,302.25","1,316.50"
05/24/2011,"1,314.75","1,322.50","1,311.75","1,313.50"
05/23/2011,"1,326.00","1,326.25","1,310.75","1,315.25"
05/20/2011,"1,341.50","1,344.00","1,327.00","1,327.75"
05/19/2011,"1,338.25","1,345.50","1,334.50","1,341.75"
05/18/2011,"1,326.25","1,340.50","1,324.50","1,338.50"
05/17/2011,"1,325.25","1,332.00","1,316.25","1,325.50"
05/16/2011,"1,332.00","1,341.25","1,324.75","1,325.50"
05/13/2011,"1,347.25","1,352.50","1,330.50","1,334.00"
05/12/2011,"1,339.25","1,348.75","1,328.75","1,347.50"
05/11/2011,"1,353.75","1,358.25","1,333.00","1,338.75"
05/10/2011,"1,342.50","1,356.50","1,339.00","1,353.75"
05/09/2011,"1,337.25","1,346.25","1,334.50","1,342.75"
05/06/2011,"1,334.25","1,351.75","1,331.75","1,334.50"
05/05/2011,"1,343.25","1,348.75","1,325.25","1,335.00"
05/04/2011,"1,351.75","1,355.00","1,337.50","1,343.00"
05/03/2011,"1,357.75","1,358.50","1,345.75","1,352.00"
05/02/2011,"1,363.25","1,373.50","1,354.75","1,357.75"
04/29/2011,"1,355.00","1,363.75","1,352.75","1,359.75"
04/28/2011,"1,351.50","1,358.50","1,346.75","1,355.00"
04/27/2011,"1,341.00","1,354.25","1,340.25","1,351.00"
04/26/2011,"1,330.75","1,346.25","1,328.00","1,341.00"
04/25/2011,"1,330.50","1,335.25","1,327.25","1,330.75"
04/21/2011,"1,328.50","1,337.75","1,328.00","1,331.00"
04/20/2011,"1,308.75","1,330.50","1,308.50","1,328.25"
