Date,Open,High,Low,Close
12/31/2020,"3,725.00","3,753.00","3,715.00","3,748.80"
12/30/2020,"3,724.50","3,738.25","3,716.50","3,724.20"
12/29/2020,"3,731.00","3,747.75","3,714.50","3,719.90"
12/28/2020,"3,682.00","3,732.25","3,676.00","3,727.50"
12/24/2020,"3,685.25","3,696.00","3,678.50","3,695.00"
12/23/2020,"3,674.25","3,701.75","3,651.00","3,681.50"
12/22/2020,"3,685.00","3,695.00","3,663.75","3,677.30"
12/21/2020,"3,718.25","3,724.00","3,596.00","3,685.80"
12/18/2020,"3,713.00","3,723.00","3,677.25","3,706.20"
12/17/2020,"3,697.00","3,717.50","3,692.00","3,712.80"
12/16/2020,"3,689.75","3,704.50","3,680.00","3,693.70"
12/15/2020,"3,647.00","3,688.50","3,636.25","3,687.00"
12/14/2020,"3,670.00","3,691.50","3,637.50","3,639.90"
12/11/2020,"3,662.75","3,667.00","3,620.75","3,653.60"
12/10/2020,"3,661.25","3,673.25","3,636.00","3,660.80"
12/09/2020,"3,707.75","3,714.75","3,659.50","3,672.40"
12/08/2020,"3,682.75","3,708.00","3,664.25","3,702.00"
12/07/2020,"3,694.75","3,705.00","3,672.25","3,690.80"
12/04/2020,"3,668.25","3,700.00","3,665.50","3,697.90"
12/03/2020,"3,671.00","3,682.00","3,655.25","3,664.60"
12/02/2020,"3,661.25","3,672.75","3,642.25","3,667.30"
12/01/2020,"3,631.00","3,677.50","3,626.00","3,660.50"
11/30/2020,"3,643.75","3,652.00","3,592.25","3,623.20"
11/27/2020,"3,620.50","3,642.75","3,612.75","3,636.50"
11/25/2020,"3,635.50","3,655.00","3,615.25","3,627.30"
11/24/2020,"3,576.00","3,640.00","3,575.25","3,632.70"
11/23/2020,"3,546.50","3,588.00","3,545.50","3,576.00"
11/20/2020,"3,560.00","3,582.50","3,542.75","3,554.20"
11/19/2020,"3,562.00","3,582.75","3,542.25","3,580.10"
11/18/2020,"3,604.50","3,623.25","3,556.50","3,564.90"
11/17/2020,"3,625.50","3,630.00","3,584.25","3,606.80"
11/16/2020,"3,587.00","3,637.00","3,586.50","3,623.00"
11/13/2020,"3,537.50","3,590.00","3,518.00","3,581.90"
11/12/2020,"3,574.50","3,574.50","3,513.00","3,532.50"
11/11/2020,"3,546.25","3,576.75","3,531.00","3,568.10"
11/10/2020,"3,549.50","3,562.75","3,506.50","3,541.00"
11/09/2020,"3,522.50","3,668.00","3,515.75","3,544.00"
11/06/2020,"3,508.75","3,519.00","3,456.75","3,500.70"
11/05/2020,"3,448.00","3,522.50","3,428.25","3,504.80"
11/04/2020,"3,362.75","3,480.00","3,319.00","3,434.90"
11/03/2020,"3,304.00","3,382.75","3,301.25","3,361.60"
11/02/2020,"3,260.00","3,323.50","3,243.25","3,300.50"
10/30/2020,"3,268.00","3,296.25","3,225.00","3,264.70"
10/29/2020,"3,279.00","3,333.75","3,250.25","3,302.30"
10/28/2020,"3,369.00","3,370.25","3,260.75","3,263.50"
10/27/2020,"3,394.25","3,410.00","3,368.25","3,383.10"
10/26/2020,"3,445.75","3,446.25","3,356.00","3,393.50"
10/23/2020,"3,455.75","3,462.50","3,431.50","3,451.80"
10/22/2020,"3,430.25","3,453.00","3,402.50","3,449.20"
10/21/2020,"3,437.00","3,458.00","3,420.50","3,432.50"
10/20/2020,"3,436.00","3,469.75","3,418.75","3,432.20"
10/19/2020,"3,471.00","3,496.50","3,410.75","3,422.70"
10/16/2020,"3,478.50","3,508.50","3,461.25","3,462.20"
10/15/2020,"3,479.25","3,486.50","3,431.50","3,475.40"
10/14/2020,"3,502.00","3,524.00","3,472.00","3,480.90"
10/13/2020,"3,534.00","3,535.75","3,491.50","3,504.80"
10/12/2020,"3,467.50","3,541.00","3,464.25","3,532.80"
10/09/2020,"3,447.25","3,480.00","3,445.25","3,473.30"
10/08/2020,"3,406.25","3,447.25","3,405.50","3,437.50"
10/07/2020,"3,338.00","3,416.75","3,332.25","3,406.80"
10/06/2020,"3,392.00","3,421.75","3,330.50","3,353.20"
10/05/2020,"3,360.00","3,400.00","3,346.50","3,392.90"
10/02/2020,"3,367.00","3,375.50","3,300.25","3,339.20"
10/01/2020,"3,344.75","3,388.00","3,343.25","3,367.70"
09/30/2020,"3,330.00","3,384.00","3,291.25","3,352.00"
09/29/2020,"3,348.75","3,363.00","3,316.50","3,333.70"
09/28/2020,"3,291.00","3,351.25","3,287.50","3,346.00"
09/25/2020,"3,243.50","3,296.25","3,206.50","3,287.30"
09/24/2020,"3,228.00","3,268.25","3,198.00","3,238.00"
09/23/2020,"3,303.75","3,319.75","3,221.00","3,231.20"
09/22/2020,"3,271.50","3,309.50","3,256.50","3,299.30"
09/21/2020,"3,314.50","3,326.25","3,217.75","3,275.10"
09/18/2020,"3,345.00","3,363.00","3,280.75","3,316.20"
09/17/2020,"3,381.50","3,386.50","3,310.25","3,351.00"
09/16/2020,"3,395.75","3,419.50","3,373.75","3,379.40"
09/15/2020,"3,369.75","3,409.00","3,366.25","3,395.00"
09/14/2020,"3,340.00","3,392.50","3,336.25","3,372.20"
09/11/2020,"3,334.75","3,364.75","3,298.25","3,323.30"
09/10/2020,"3,386.50","3,414.00","3,316.75","3,330.10"
09/09/2020,"3,315.25","3,424.00","3,295.50","3,400.30"
09/08/2020,"3,432.50","3,447.00","3,327.50","3,335.50"
09/04/2020,"3,454.75","3,484.25","3,347.75","3,417.60"
09/03/2020,"3,578.75","3,586.50","3,424.50","3,461.50"
09/02/2020,"3,529.00","3,587.00","3,526.25","3,579.20"
09/01/2020,"3,493.25","3,530.00","3,484.25","3,526.90"
08/31/2020,"3,508.50","3,524.50","3,490.00","3,498.90"
08/28/2020,"3,488.00","3,509.50","3,480.75","3,504.40"
08/27/2020,"3,479.50","3,498.25","3,464.75","3,485.30"
08/26/2020,"3,444.75","3,483.50","3,436.75","3,480.30"
08/25/2020,"3,427.00","3,448.75","3,421.75","3,442.90"
08/24/2020,"3,398.75","3,429.50","3,393.50","3,427.50"
08/21/2020,"3,383.50","3,396.25","3,356.75","3,392.60"
08/20/2020,"3,370.25","3,387.00","3,344.75","3,380.80"
08/19/2020,"3,388.75","3,395.75","3,365.50","3,372.70"
08/18/2020,"3,379.25","3,390.75","3,365.25","3,386.90"
08/17/2020,"3,366.00","3,382.75","3,364.75","3,379.80"
08/14/2020,"3,369.25","3,380.50","3,350.00","3,361.40"
08/13/2020,"3,367.75","3,382.00","3,357.50","3,367.70"
08/12/2020,"3,339.50","3,382.50","3,326.25","3,370.10"
08/11/2020,"3,350.25","3,379.00","3,319.50","3,329.90"
08/10/2020,"3,347.00","3,357.25","3,329.00","3,352.70"
