Date,Open,High,Low,Close
12/31/2014,"2,076.25","2,082.75","2,050.75","2,052.40"
12/30/2014,"2,087.50","2,088.50","2,073.00","2,076.70"
12/29/2014,"2,086.00","2,088.75","2,076.00","2,085.80"
12/26/2014,"2,078.75","2,088.75","2,078.50","2,084.20"
12/24/2014,"2,078.75","2,083.50","2,077.00","2,078.80"
12/23/2014,"2,073.00","2,084.50","2,071.50","2,078.90"
12/22/2014,"2,065.00","2,076.00","2,064.00","2,072.40"
12/19/2014,"2,060.25","2,076.25","2,056.50","2,067.10"
12/18/2014,"2,008.00","2,062.75","2,004.50","2,059.90"
12/17/2014,"1,966.75","2,011.00","1,966.00","2,008.20"
12/16/2014,"1,984.50","2,011.25","1,961.50","1,965.10"
12/15/2014,"1,990.50","2,012.25","1,974.50","1,983.20"
12/12/2014,"2,022.50","2,025.50","1,989.75","1,990.40"
12/11/2014,"2,019.75","2,049.50","2,017.00","2,024.00"
12/10/2014,"2,057.75","2,060.00","2,023.25","2,026.40"
12/09/2014,"2,060.25","2,062.25","2,033.25","2,057.50"
12/08/2014,"2,075.75","2,077.50","2,053.75","2,059.40"
12/05/2014,"2,071.75","2,079.00","2,068.50","2,076.10"
12/04/2014,"2,073.00","2,077.25","2,061.25","2,071.90"
12/03/2014,"2,066.50","2,076.00","2,063.25","2,072.60"
12/02/2014,"2,051.00","2,068.00","2,050.75","2,065.90"
12/01/2014,"2,063.25","2,064.00","2,048.25","2,050.80"
11/28/2014,"2,072.25","2,074.75","2,063.50","2,066.30"
11/26/2014,"2,068.25","2,075.25","2,065.25","2,072.30"
11/25/2014,"2,067.25","2,073.00","2,062.75","2,067.60"
11/24/2014,"2,062.25","2,069.00","2,060.75","2,067.50"
11/21/2014,"2,052.25","2,072.25","2,049.75","2,061.80"
11/20/2014,"2,047.00","2,052.75","2,035.25","2,052.10"
11/19/2014,"2,048.75","2,050.50","2,037.75","2,047.20"
11/18/2014,"2,039.25","2,054.00","2,035.75","2,048.60"
11/17/2014,"2,038.50","2,040.50","2,025.25","2,039.70"
11/14/2014,"2,033.00","2,039.75","2,032.00","2,038.00"
11/13/2014,"2,034.75","2,043.75","2,026.75","2,034.10"
11/12/2014,"2,036.50","2,037.25","2,026.75","2,035.90"
11/11/2014,"2,033.75","2,039.00","2,031.00","2,036.50"
11/10/2014,"2,025.75","2,035.00","2,021.00","2,034.10"
11/07/2014,"2,027.25","2,033.50","2,020.50","2,026.00"
11/06/2014,"2,018.50","2,029.25","2,010.75","2,028.00"
11/05/2014,"2,006.25","2,020.50","2,003.75","2,018.70"
11/04/2014,"2,010.50","2,013.75","1,995.25","2,005.50"
11/03/2014,"2,011.25","2,019.25","2,007.00","2,011.10"
10/31/2014,"1,987.75","2,016.75","1,986.75","2,011.40"
10/30/2014,"1,971.75","1,994.25","1,959.25","1,988.60"
10/29/2014,"1,976.00","1,985.75","1,962.00","1,972.20"
10/28/2014,"1,957.75","1,980.75","1,956.75","1,980.10"
10/27/2014,"1,960.25","1,965.75","1,944.50","1,957.10"
10/24/2014,"1,946.00","1,961.25","1,931.75","1,959.70"
10/23/2014,"1,924.50","1,956.25","1,922.25","1,946.10"
10/22/2014,"1,938.25","1,943.75","1,920.25","1,925.10"
10/21/2014,"1,903.50","1,939.75","1,885.75","1,938.00"
10/20/2014,"1,884.00","1,904.50","1,872.25","1,899.90"
10/17/2014,"1,853.00","1,891.75","1,851.00","1,881.00"
10/16/2014,"1,846.75","1,869.75","1,815.25","1,850.60"
10/15/2014,"1,878.25","1,883.25","1,813.00","1,846.70"
10/14/2014,"1,866.25","1,892.75","1,864.75","1,874.80"
10/13/2014,"1,892.00","1,906.00","1,863.75","1,865.60"
10/10/2014,"1,917.00","1,931.25","1,893.25","1,894.30"
10/09/2014,"1,961.50","1,968.50","1,915.25","1,924.90"
10/08/2014,"1,926.25","1,964.00","1,918.00","1,961.80"
10/07/2014,"1,953.25","1,956.25","1,924.25","1,927.90"
10/06/2014,"1,961.00","1,971.00","1,950.50","1,956.00"
10/03/2014,"1,938.50","1,964.50","1,935.75","1,960.30"
10/02/2014,"1,940.75","1,945.75","1,918.25","1,938.60"
10/01/2014,"1,961.00","1,967.00","1,933.75","1,940.80"
09/30/2014,"1,968.75","1,978.25","1,960.50","1,965.50"
09/29/2014,"1,974.75","1,977.00","1,955.50","1,969.50"
09/26/2014,"1,961.00","1,979.25","1,956.50","1,975.90"
09/25/2014,"1,990.75","1,991.50","1,957.75","1,961.60"
09/24/2014,"1,969.75","1,992.50","1,969.50","1,991.00"
09/23/2014,"1,984.00","1,988.00","1,968.25","1,972.30"
09/22/2014,"2,002.00","2,006.50","1,981.75","1,986.30"
09/19/2014,"2,006.00","2,014.50","1,998.25","2,003.80"
09/18/2014,"1,995.50","2,006.75","1,993.00","2,004.60"
09/17/2014,"1,991.50","2,003.25","1,983.25","1,993.70"
09/16/2014,"1,976.75","1,994.50","1,970.25","1,991.50"
09/15/2014,"1,973.75","1,979.00","1,968.00","1,976.10"
09/12/2014,"1,991.25","1,991.50","1,971.25","1,976.70"
09/11/2014,"1,986.75","1,991.50","1,977.25","1,989.00"
09/10/2014,"1,989.50","1,996.25","1,981.50","1,995.00"
09/09/2014,"2,000.25","2,003.00","1,983.25","1,989.75"
09/08/2014,"2,006.50","2,006.75","1,994.00","2,000.50"
09/05/2014,"1,999.00","2,007.75","1,988.25","2,006.00"
09/04/2014,"1,998.75","2,010.00","1,990.75","1,997.75"
09/03/2014,"2,000.50","2,011.00","1,996.25","1,998.75"
09/02/2014,"1,999.00","2,006.25","1,992.75","1,999.75"
