Date,Open,High,Low,Close
12/31/2015,"2,055.25","2,057.75","2,030.25","2,035.40"
12/30/2015,"2,072.00","2,075.00","2,053.50","2,054.60"
12/29/2015,"2,049.75","2,074.50","2,047.50","2,072.80"
12/28/2015,"2,051.25","2,054.50","2,035.25","2,048.80"
12/24/2015,"2,052.75","2,059.75","2,049.00","2,051.20"
12/23/2015,"2,034.00","2,057.75","2,030.75","2,053.00"
12/22/2015,"2,017.00","2,036.50","2,007.25","2,035.90"
12/21/2015,"1,997.25","2,019.50","1,995.25","2,014.90"
12/18/2015,"2,024.00","2,029.75","1,991.00","1,991.90"
12/17/2015,"2,060.75","2,072.75","2,022.75","2,024.70"
12/16/2015,"2,037.50","2,068.75","2,031.00","2,063.70"
12/15/2015,"2,013.00","2,045.75","2,010.00","2,037.10"
12/14/2015,"2,001.50","2,019.50","1,983.25","2,009.60"
12/11/2015,"2,042.50","2,047.75","1,996.25","2,001.20"
12/10/2015,"2,037.25","2,058.75","2,035.75","2,041.00"
12/09/2015,"2,059.50","2,079.75","2,034.25","2,042.10"
12/08/2015,"2,080.00","2,081.50","2,050.25","2,058.70"
12/07/2015,"2,087.25","2,095.50","2,064.50","2,081.00"
12/04/2015,"2,053.25","2,093.00","2,046.75","2,088.40"
12/03/2015,"2,083.25","2,095.25","2,040.00","2,051.20"
12/02/2015,"2,099.50","2,105.00","2,075.00","2,081.60"
12/01/2015,"2,085.50","2,101.50","2,083.50","2,099.90"
11/30/2015,"2,089.50","2,095.00","2,078.50","2,079.80"
11/27/2015,"2,094.75","2,098.25","2,081.50","2,089.90"
11/25/2015,"2,084.00","2,092.50","2,082.25","2,088.10"
11/24/2015,"2,083.00","2,091.50","2,065.50","2,084.70"
11/23/2015,"2,089.75","2,093.00","2,078.25","2,084.20"
11/20/2015,"2,078.25","2,094.50","2,076.00","2,088.70"
11/19/2015,"2,078.25","2,089.25","2,075.25","2,079.20"
11/18/2015,"2,049.75","2,082.50","2,043.00","2,079.70"
11/17/2015,"2,047.75","2,063.50","2,041.50","2,049.00"
11/16/2015,"2,006.50","2,051.00","1,998.50","2,048.00"
11/13/2015,"2,040.50","2,046.00","2,011.50","2,018.60"
11/12/2015,"2,068.50","2,077.50","2,039.50","2,040.60"
11/11/2015,"2,076.50","2,087.25","2,067.75","2,069.00"
11/10/2015,"2,072.25","2,079.00","2,064.50","2,078.10"
11/09/2015,"2,092.00","2,097.75","2,062.00","2,072.90"
11/06/2015,"2,094.75","2,099.00","2,077.50","2,093.70"
11/05/2015,"2,095.50","2,104.75","2,084.00","2,094.00"
11/04/2015,"2,102.50","2,109.75","2,090.50","2,094.70"
11/03/2015,"2,093.25","2,110.25","2,089.00","2,102.90"
11/02/2015,"2,073.00","2,100.00","2,064.25","2,095.40"
10/30/2015,"2,084.75","2,094.75","2,069.75","2,073.70"
10/29/2015,"2,081.00","2,086.50","2,073.25","2,083.00"
10/28/2015,"2,062.00","2,085.25","2,055.50","2,084.50"
10/27/2015,"2,063.75","2,064.75","2,051.25","2,060.40"
10/26/2015,"2,066.00","2,068.00","2,057.50","2,062.30"
10/23/2015,"2,054.25","2,074.50","2,053.25","2,066.00"
10/22/2015,"2,010.50","2,056.00","2,008.50","2,053.10"
10/21/2015,"2,019.75","2,034.25","2,007.50","2,008.50"
10/20/2015,"2,026.50","2,031.50","2,018.50","2,020.60"
10/19/2015,"2,024.50","2,028.00","2,014.25","2,027.40"
10/16/2015,"2,018.25","2,026.50","2,012.25","2,025.50"
10/15/2015,"1,985.75","2,019.50","1,985.00","2,019.00"
10/14/2015,"1,991.50","2,001.75","1,982.50","1,984.00"
10/13/2015,"2,012.00","2,014.75","1,991.25","1,993.90"
10/12/2015,"2,005.25","2,014.00","2,001.75","2,010.90"
10/09/2015,"2,004.00","2,014.00","1,998.75","2,007.40"
10/08/2015,"1,987.75","2,008.75","1,971.00","2,006.60"
10/07/2015,"1,961.00","1,991.25","1,960.50","1,987.20"
10/06/2015,"1,973.00","1,982.25","1,962.50","1,968.60"
10/05/2015,"1,941.00","1,980.00","1,937.25","1,974.70"
10/02/2015,"1,917.00","1,943.75","1,883.00","1,943.10"
10/01/2015,"1,902.50","1,929.50","1,890.25","1,916.80"
09/30/2015,"1,875.00","1,910.50","1,871.25","1,908.70"
09/29/2015,"1,876.25","1,889.75","1,861.00","1,874.50"
09/28/2015,"1,915.50","1,929.75","1,868.75","1,872.10"
09/25/2015,"1,913.25","1,951.00","1,910.25","1,919.20"
09/24/2015,"1,931.75","1,936.25","1,897.25","1,918.80"
09/23/2015,"1,930.50","1,941.75","1,910.50","1,928.60"
09/22/2015,"1,964.25","1,965.00","1,917.75","1,932.10"
09/21/2015,"1,949.25","1,969.00","1,938.50","1,963.10"
09/18/2015,"1,976.50","1,983.00","1,941.25","1,950.60"
09/17/2015,"1,986.50","2,011.75","1,972.00","1,977.20"
09/16/2015,"1,970.25","1,989.00","1,962.75","1,988.00"
09/15/2015,"1,943.50","1,973.00","1,935.25","1,970.00"
09/14/2015,"1,953.00","1,964.25","1,936.50","1,944.00"
09/11/2015,"1,939.50","1,952.50","1,927.50","1,950.30"
09/10/2015,"1,934.75","1,957.75","1,919.00","1,939.80"
09/09/2015,"1,966.50","1,992.00","1,935.50","1,942.70"
09/08/2015,"1,930.00","1,968.75","1,915.75","1,965.70"
09/04/2015,"1,947.25","1,949.25","1,907.75","1,921.70"
09/03/2015,"1,947.50","1,973.50","1,942.00","1,946.10"
09/02/2015,"1,913.50","1,949.00","1,907.25","1,947.10"
09/01/2015,"1,965.50","1,966.25","1,898.75","1,915.90"
08/31/2015,"1,986.25","1,987.75","1,959.25","1,969.20"
08/28/2015,"1,988.25","1,992.75","1,967.25","1,989.70"
08/27/2015,"1,941.25","1,990.25","1,934.50","1,989.30"
08/26/2015,"1,876.00","1,943.00","1,850.50","1,938.10"
08/25/2015,"1,872.75","1,948.50","1,860.00","1,872.80"
08/24/2015,"1,964.50","1,964.75","1,831.00","1,871.20"
08/21/2015,"2,026.25","2,029.00","1,967.25","1,971.40"
08/20/2015,"2,073.50","2,077.75","2,024.50","2,025.40"
08/19/2015,"2,093.25","2,098.00","2,066.50","2,072.70"
08/18/2015,"2,098.25","2,103.75","2,090.25","2,093.90"
08/17/2015,"2,089.50","2,100.50","2,074.75","2,099.30"
08/14/2015,"2,079.25","2,090.50","2,073.75","2,089.40"
08/13/2015,"2,082.75","2,093.00","2,073.25","2,080.50"
08/12/2015,"2,080.75","2,085.25","2,046.50","2,084.20"
08/11/2015,"2,100.75","2,101.75","2,070.75","2,079.70"
08/10/2015,"2,072.00","2,101.25","2,071.75","2,099.80"
08/07/2015,"2,080.00","2,082.75","2,062.00","2,073.60"
08/06/2015,"2,094.00","2,099.25","2,070.00","2,079.50"
08/05/2015,"2,082.50","2,107.00","2,082.25","2,093.80"
08/04/2015,"2,090.50","2,096.25","2,081.50","2,082.90"
08/03/2015,"2,098.75","2,102.50","2,080.00","2,090.90"
07/31/2015,"2,101.75","2,109.25","2,095.25","2,098.40"
07/30/2015,"2,099.50","2,104.25","2,087.75","2,103.70"
07/29/2015,"2,088.00","2,104.25","2,084.50","2,101.50"
07/28/2015,"2,065.50","2,089.00","2,061.50","2,087.20"
07/27/2015,"2,078.25","2,080.75","2,056.50","2,064.40"
07/24/2015,"2,101.00","2,104.00","2,069.75","2,077.60"
07/23/2015,"2,109.25","2,113.75","2,091.50","2,098.50"
07/22/2015,"2,107.75","2,112.00","2,102.25","2,107.90"
07/21/2015,"2,121.25","2,125.00","2,106.75","2,114.40"
07/20/2015,"2,118.00","2,126.25","2,116.50","2,121.90"
07/17/2015,"2,117.00","2,120.00","2,112.75","2,118.80"
07/16/2015,"2,104.00","2,118.50","2,102.75","2,116.90"
07/15/2015,"2,102.50","2,107.75","2,095.00","2,104.20"
07/14/2015,"2,094.00","2,105.50","2,090.50","2,102.10"
07/13/2015,"2,054.75","2,094.75","2,052.00","2,094.40"
07/10/2015,"2,044.75","2,074.75","2,044.75","2,069.00"
07/09/2015,"2,039.75","2,068.00","2,038.25","2,041.20"
07/08/2015,"2,073.00","2,073.25","2,036.25","2,039.20"
07/07/2015,"2,067.75","2,078.00","2,035.00","2,073.70"
07/06/2015,"2,037.25","2,071.75","2,034.25","2,064.60"
07/02/2015,"2,071.50","2,079.00","2,062.25","2,068.80"
07/01/2015,"2,054.50","2,077.50","2,054.50","2,070.90"
